account_id,team_id,is_current_team_member,mmr_estimate
88470,6020739,False,6241
1296625,6904594,True,6103
3916428,7237270,False,7357
3940262,7225724,True,7434
4281729,7247587,False,6136
5150808,0,False,7557
6103402,6363102,False,6505
6199147,2293742,False,5839
6922000,6214538,True,7943
8591574,6516770,False,5835
8712306,5154470,False,6239
9403474,6212920,True,7046
10366616,6214538,True,6917
10516239,0,False,5197
11550182,7119388,False,6853
11865327,6954284,False,6584
12231202,3,True,7466
15272141,5032934,False,5481
16317795,0,False,4975
16769223,5233630,False,5263
16795361,5022588,False,5460
18180970,5059375,True,7071
18565955,3845706,False,4867
19195168,6592941,False,5327
19672354,2586976,True,8331
20321748,7237270,False,6370
20603135,0,False,5417
21289303,2672298,True,5878
21604967,1958953,False,5592
23589642,5006832,True,6085
23883296,6566629,True,6513
24009418,7034741,False,6984
25175582,3335735,False,6573
25907144,39,True,6797
26316691,7119388,False,6792
26356855,5242529,True,6642
26771994,2586976,True,8345
27178898,7220047,False,6783
28070572,7233180,False,7400
29904110,7234776,False,5724
30237211,2512249,True,6662
31818853,7079109,True,7575
32995405,0,False,5840
33122084,0,False,5582
34127506,5022588,False,4733
34322358,7102595,False,6979
34505203,2163,True,8267
34726076,6517668,False,5676
35504297,7019882,False,7439
35533647,6903944,False,5856
36343070,6491802,False,5052
36707044,5112297,False,6006
37399177,6295716,False,6195
37658157,5679840,False,5756
38057824,6491802,False,5696
38628747,7247584,False,7419
39155815,5152149,False,5792
39749294,0,False,6861
40144634,0,False,6181
40209325,7019882,False,7163
40547474,6214538,False,5566
40586005,5003402,False,6198
40805086,5014799,True,6495
41231571,39,True,6820
41470731,2059672,True,5675
42274654,6656039,False,5613
43276219,7079109,True,7592
43619695,7233180,False,7446
44447459,397450,False,5491
44544729,0,False,5927
46398245,3845706,False,4815
47434686,6214538,True,7793
47501114,0,False,3011
47508363,5015830,False,6229
49317728,0,False,5214
50580004,5059375,True,7038
50828662,3,True,7111
51684352,6098336,False,5928
52309044,6788217,False,6364
52406002,3214090,False,7043
53178236,7102595,False,6734
53722536,5237874,False,3938
54580962,111474,True,7502
56029361,6980592,False,6395
56351509,7019882,False,6664
56939869,7237270,False,6988
57516313,7034741,False,6623
57569220,5110154,False,5657
57578110,6928546,False,7284
58429537,6408664,True,5737
58513047,3214090,False,6543
59273184,3586078,False,5794
59381601,3783890,False,4637
59463394,7119077,True,6585
59752811,1366506,False,6414
60943014,2786652,False,5639
61130075,6211373,False,6063
